TimePoint,Time of day,PP,PP-sd,alpha,Alpha-sd,Pmax,Pmax-sd,Estar,Estar-sd,pmax,pmax-sd,Ek2,Ek2-sd,pPmax,pPmax-sd
1,8,4.9504,0.4484,0.0504,0.00884,6.7984,0.2872,136.6003,18.2991,0.9358,0.1254,1.0855,0.1454,0.7274,0.0352
2,10,6.564,0.7357,0.0533,0.0132,8.2158,0.5947,157.8867,28.1139,1.0894,0.194,1.2637,0.225,0.7978,0.0318
3,12,7.5699,0.7471,0.0626,0.0125,9.327,0.8446,150.793,16.7895,1.2946,0.1441,1.5017,0.1672,0.8113,0.00663
4,14,8.4124,0.3309,0.0745,0.013,10.4038,0.3792,141.3992,19.6546,1.3782,0.1916,1.5988,0.2222,0.8086,0.00234
5,16,7.1821,0.0916,0.073,0.0136,9.6576,0.5461,134.0172,17.672,1.4427,0.1902,1.6735,0.2207,0.7446,0.0326
6,18,3.3403,0.2032,0.0804,0.0136,9.1964,0.5498,115.4351,12.6731,0.9751,0.107,1.1311,0.1242,0.3632,0.000375
7,20,0.00215,0.0409,0.055,0.00955,6.377,0.5384,117.0489,10.5715,0.0475,0.00429,0.0551,0.00498,6.64E-05,0.00641
8,22,0.0038,0.0194,0.0658,0.000778,8.0491,0.1364,122.4871,3.5838,0,0,0,0,0.000492,0.00242
9,0,0.00332,0.00929,0.0435,0.00198,5.2781,0.00474,121.5228,5.3696,0,0,0,0,0.000631,0.00176
10,2,0.00425,0.0213,0.038,7.07E-05,4.2388,0.0666,111.7985,1.9211,0,0,0,0,0.000963,0.00501
11,4,0.00123,0.00352,0.034,0.00163,3.8533,0.0729,113.5509,7.5578,0,0,0,0,0.000312,0.000907
12,6,2.4054,0.0682,0.0382,0.00735,4.0526,0.1252,107.7399,17.2752,0.1499,0.024,0.1739,0.0279,0.5941,0.0352
13,8,5.4248,0.0535,0.0418,0.00679,5.0417,0.0087,122.1219,19.5367,1.0717,0.1714,1.2431,0.1989,1.076,0.00875
14,10,7.169,0.1385,0.0625,0.00509,8.7717,0.2925,141.0252,16.1761,1.212,0.139,1.4059,0.1613,0.8175,0.0115
15,12,8.3187,0.1561,0.0702,0.00629,10.0481,0.2957,143.9663,17.0932,1.3715,0.1628,1.591,0.1889,0.8285,0.0399
16,14,9.147,0.194,0.0799,0.00304,10.6746,0.6147,133.9074,12.6959,1.4747,0.1398,1.7106,0.1622,0.8588,0.0676
17,16,8.2599,0.0276,0.0914,0.00785,11.3256,0.3192,124.5674,14.1514,1.5513,0.1762,1.7996,0.2044,0.7296,0.0181
18,18,3.755,0.4575,0.1,0.0105,11.0644,0.3273,111.4073,14.8722,1.0225,0.1365,1.1861,0.1583,0.3401,0.0514
19,20,0.00415,0.000123,0.1001,0.0121,10.2115,0.2677,103.0148,15.1331,0.052,0.00764,0.0603,0.00886,0.000407,1.4E-06
20,22,0.0401,0.0267,0.0852,0.015,8.2047,0.893,96.8933,6.6151,0,0,0,0,0.00474,0.00274
21,0,-0.0616,0.0604,0.068,0.00622,6.7453,0.5936,99.9579,17.887,0,0,0,0,-0.00877,0.00818
22,2,0.001,0.0174,0.0515,0.00502,5.1352,0.1018,100.1934,7.8881,0,0,0,0,0.000228,0.00339
23,4,-0.0126,0.0143,0.0445,0.0122,4.4491,0.1258,103.6797,25.8467,0,0,0,0,-0.00279,0.00313
24,6,2.4955,0.088,0.0395,0.00212,3.9812,0.529,101.3228,18.8822,0.1673,0.0312,0.1941,0.0362,0.6339,0.1063
25,8,4.3894,0.5066,0.0485,0.000566,5.4342,0.4308,111.9447,7.5071,1.1806,0.0792,1.3694,0.0918,0.8066,0.0293
